2217;3;10;14;16;30;32;36;0;
2216;7;10;24;42;43;48;49;0;
2215;4;1;19;21;23;33;43;0;
2214;7;4;10;18;30;34;47;0;
2213;4;5;7;10;32;46;60;1;
2212;7;23;26;51;52;53;58;0;
2211;4;27;36;40;41;44;54;0;
2210;7;11;17;24;25;33;34;0;
2209;4;22;25;28;32;33;47;0;
2208;7;16;25;30;40;45;49;0;
2207;4;6;10;11;43;53;55;0;
2206;7;6;27;38;42;45;57;0;
2205;4;12;21;28;37;42;57;1;
2204;2;1;28;29;32;35;56;0;
2203;4;17;34;46;49;50;57;0;
2202;7;11;29;37;38;43;60;0;
2201;5;3;13;23;41;49;53;0;
2200;3;11;15;28;36;43;55;0;
2199;7;15;23;30;35;38;44;0;
2198;4;1;11;34;36;44;56;1;
2197;2;3;11;29;35;44;57;0;
2196;4;1;25;27;28;41;56;0;
2195;7;14;24;32;38;46;53;0;
2194;4;8;16;20;21;31;34;0;
2193;7;7;8;22;27;29;42;1;
2192;5;7;16;37;53;57;59;0;
2191;3;4;8;26;33;46;53;1;
2190;7;5;9;20;25;35;53;0;
2189;4;4;11;16;22;29;33;1;
2188;7;2;17;21;28;51;60;0;
2187;4;10;11;16;21;46;50;0;
2186;2;12;18;19;27;41;46;0;
2185;4;9;18;19;22;42;47;0;
2184;7;15;36;45;51;52;59;0;
2183;4;13;26;30;34;43;51;0;
2182;7;19;22;39;46;47;59;0;
2181;4;1;8;19;33;36;48;0;
2180;7;10;12;16;21;28;38;0;
2179;4;2;13;24;35;50;54;0;
2178;7;2;16;21;42;50;56;0;
2177;5;9;11;14;31;48;51;0;
2176;3;8;23;25;39;43;44;1;
2175;7;7;25;32;43;53;55;0;
2174;4;10;15;34;36;56;60;0;
2173;7;2;9;42;44;48;50;0;
2172;4;9;24;28;37;43;57;0;
2171;7;12;13;19;36;44;55;1;
2170;4;10;21;24;36;38;51;0;
2169;7;7;34;45;51;54;59;0;
2168;5;1;4;25;27;29;37;1;
2167;3;27;37;38;43;45;54;0;
2166;7;3;19;34;44;56;58;0;
2165;4;5;37;43;49;54;56;1;
2164;7;16;17;25;47;48;58;0;
2163;4;8;18;20;24;36;45;0;
2162;7;11;16;22;30;34;42;0;
2161;4;8;9;10;24;42;44;1;
2160;7;1;19;46;47;49;53;0;
2159;4;14;26;35;38;45;53;0;
2158;7;9;27;35;45;46;59;0;
2157;4;31;33;34;35;39;48;0;
2156;7;1;6;23;26;39;49;0;
2155;4;2;6;27;37;44;47;0;
2154;7;7;25;41;47;50;53;0;
2153;4;8;13;28;31;32;33;1;
2152;7;26;29;36;49;50;59;0;
2151;4;2;14;18;29;36;38;0;
2150;7;23;24;26;38;42;49;1;
2149;4;21;23;37;44;46;48;0;
2148;7;8;15;32;33;58;59;0;
2147;5;17;19;37;41;42;49;0;
2146;7;16;18;31;39;42;44;0;
2145;4;6;8;28;51;53;59;0;
2144;7;7;16;21;33;55;60;0;
2143;4;2;12;35;51;57;58;0;
2142;7;7;40;44;50;52;57;0;
2141;4;10;11;17;19;37;41;0;
2140;7;17;20;26;36;42;54;0;
2139;4;14;23;29;41;57;58;0;
2138;7;4;13;14;21;30;34;0;
226;7;1;2;38;49;50;59;1;
2136;7;1;8;11;22;30;35;0;
2135;4;9;23;28;40;48;59;1;
2134;7;6;21;34;46;54;59;0;
2133;4;19;20;26;51;52;57;0;
2132;7;5;18;30;35;39;60;0;
2131;4;2;3;6;18;20;28;1;
2130;7;13;16;36;53;54;55;0;
2129;5;6;12;31;32;46;60;0;
2128;3;11;16;24;46;54;55;0;
2127;7;1;7;28;30;44;46;0;
2126;4;7;12;24;27;39;58;0;
2125;7;1;31;44;46;53;58;0;
2124;4;2;11;20;31;43;47;0;
2123;7;14;15;47;50;56;59;0;
2122;4;3;11;15;21;27;49;0;
2121;7;8;10;17;29;37;40;1;
2120;4;13;20;24;25;38;41;0;
2119;7;19;21;26;31;42;49;0;
2118;4;11;12;20;40;41;46;1;
2117;7;4;28;29;30;43;52;0;
2116;5;1;9;19;21;34;54;0;
2115;3;4;19;27;35;40;44;0;
2114;7;17;25;30;35;42;57;0;
2113;4;11;14;21;25;46;50;0;
2112;7;17;39;43;46;52;53;0;
2111;4;1;41;44;46;54;58;0;
2110;2;5;10;12;18;25;33;52;
2109;5;4;12;16;34;44;49;0;
2108;3;19;22;29;41;44;59;0;
2107;7;8;38;44;50;56;60;0;
2106;4;3;27;36;39;40;43;0;
2105;7;11;13;16;24;31;46;0;
2104;5;2;10;12;27;45;56;0;
2103;3;3;13;40;44;46;50;0;
2102;7;4;6;17;34;51;57;0;
2101;4;2;8;18;37;56;58;0;
2100;7;1;10;11;13;35;49;1;
2099;4;5;15;20;27;30;58;0;
2098;7;2;8;18;27;38;60;0;
2097;4;9;24;28;45;49;51;0;
2096;7;6;11;13;19;24;51;0;
2095;4;16;29;35;43;49;56;0;
2094;7;4;16;19;31;33;44;0;
2093;4;8;14;27;34;52;54;0;
2092;7;11;13;15;17;22;27;0;
2091;5;10;11;12;37;38;59;1;
2090;3;8;11;18;37;40;51;0;
2089;7;5;10;32;38;48;49;0;
2088;4;3;14;24;27;38;56;1;
2087;7;2;18;19;23;34;53;1;
2086;4;4;35;43;46;47;53;0;
2085;7;12;21;25;37;38;49;0;
2084;4;7;20;26;37;38;39;0;
2083;7;1;18;19;33;56;60;0;
2082;4;6;25;33;42;48;49;1;
2081;7;13;18;35;40;41;42;1;
2080;5;10;22;40;46;55;58;0;
1271;7;1;2;39;48;52;59;0;
2078;7;2;11;15;30;36;39;0;
2077;4;13;16;26;35;37;39;1;
2076;7;5;6;12;15;22;43;0;
2075;4;7;9;23;33;57;59;0;
2074;7;8;18;23;37;42;58;2;
2073;4;12;15;18;30;52;55;0;
2072;7;10;12;13;20;22;54;0;
2071;4;24;33;34;35;46;60;0;
2070;7;5;26;27;34;42;48;0;
2069;5;3;17;34;35;40;48;0;
2068;3;3;5;9;40;42;47;0;
2067;7;2;11;13;26;32;59;0;
2066;4;6;25;27;35;45;55;1;
2065;7;4;11;20;30;37;43;0;
