2000;31;12;2017;1;3;6;10;17;34;37;17;18042279.04;1;
1999;21;12;2017;5;15;37;38;42;49;50;0;
1998;19;12;2017;3;8;21;24;25;52;57;0;
1997;16;12;2017;7;1;7;14;31;35;46;0;
1996;13;12;2017;4;7;20;21;24;40;56;0;
1995;09;12;2017;7;14;26;29;35;37;39;0;
1994;06;12;2017;4;2;5;12;32;40;44;0;
1993;02;12;2017;7;6;17;33;48;50;57;0;
1992;29;11;2017;4;5;11;13;21;53;54;2;32953918.65;
1991;25;11;2017;7;19;20;28;34;36;44;0;
1990;22;11;2017;4;11;24;26;34;37;59;0;
1989;18;11;2017;7;15;22;30;32;40;58;0;
1988;16;11;2017;5;5;10;39;42;46;54;0;
1987;11;11;2017;7;10;14;31;34;45;58;0;
1986;09;11;2017;5;23;36;43;44;55;56;0;
1985;07;11;2017;3;9;28;29;34;36;55;0;
1984;04;11;2017;7;21;29;32;35;43;50;0;
1983;01;11;2017;4;5;6;10;14;22;36;1;2598401.89;
1982;28;10;2017;7;4;14;20;24;46;50;1;20777195.15;
1981;25;10;2017;4;6;15;19;37;39;53;0;
1980;21;10;2017;7;12;16;17;18;34;37;0;
1979;19;10;2017;5;22;23;29;32;38;45;1;3951513.94;
1978;17;10;2017;3;2;6;22;44;55;57;0;
1977;14;10;2017;7;3;16;28;32;34;37;1;5889546.54;
1976;11;10;2017;4;12;14;19;25;52;59;0;
1975;07;10;2017;7;8;11;24;26;47;57;1;22575348.57;
1974;04;10;2017;4;4;19;27;38;54;57;1;54268048.74;
1973;30;09;2017;7;1;12;16;17;52;60;0;
1972;27;09;2017;4;9;16;20;54;57;59;0;
1971;23;09;2017;7;4;10;41;44;52;54;0;
1970;21;09;2017;5;5;10;18;24;39;52;0;
1969;19;09;2017;3;8;20;30;32;48;59;0;
1968;16;09;2017;7;35;36;39;44;48;52;0;
1967;13;09;2017;4;13;30;32;39;46;54;0;
1966;09;09;2017;7;10;13;19;32;40;60;0;
1965;06;09;2017;4;26;28;35;38;48;55;1;78022245.31;
1964;02;09;2017;7;2;27;32;36;48;50;0;
1963;30;08;2017;4;4;5;7;34;42;60;0;
1962;26;08;2017;7;5;6;15;25;39;53;0;
1961;23;08;2017;4;17;25;26;30;32;50;0;
1960;19;08;2017;7;1;18;25;37;39;43;0;
1959;16;08;2017;4;8;21;27;35;43;56;0;
1958;12;08;2017;7;15;20;22;24;34;55;0;
1957;10;08;2017;5;2;14;22;23;29;47;1;51557331.87;
1956;08;08;2017;3;5;8;20;28;40;45;0;
1955;05;08;2017;7;15;27;33;36;41;45;0;
1954;02;08;2017;4;9;25;33;35;40;49;0;
1953;29;07;2017;7;9;26;29;42;43;45;1;107956102.12;
1952;26;07;2017;4;9;21;36;38;52;53;0;
1951;22;07;2017;7;14;16;19;21;33;55;0;
1950;19;07;2017;4;10;21;32;34;48;57;0;
1949;15;07;2017;7;1;6;14;22;30;56;0;
1948;12;07;2017;4;12;20;24;28;33;57;0;
1947;08;07;2017;7;8;33;40;52;55;59;0;
1946;06;07;2017;5;4;6;39;44;52;60;0;
1945;04;07;2017;3;4;8;10;21;45;54;0;
1944;01;07;2017;7;8;9;39;47;57;59;0;
1943;28;06;2017;4;9;11;12;30;39;43;0;
1942;24;06;2017;7;6;18;20;24;43;48;0;
1941;21;06;2017;4;1;9;24;38;48;49;1;26572503.56;
1940;17;06;2017;7;9;13;16;17;36;47;0;
1939;14;06;2017;4;7;24;29;39;45;52;0;
1938;10;06;2017;7;10;16;32;40;42;54;0;
1937;07;06;2017;4;6;10;24;29;43;55;1;6310224.41;
1936;03;06;2017;7;3;12;24;40;51;52;0;
1935;31;05;2017;4;1;3;10;17;23;24;3;20928347.70;
1934;27;05;2017;7;8;23;35;39;56;59;0;
1933;24;05;2017;4;2;14;15;19;35;59;0;
1932;20;05;2017;7;10;16;21;29;44;55;0;
1931;17;05;2017;4;2;8;9;15;22;34;0;
1930;13;05;2017;7;4;17;18;37;52;56;0;
1929;11;05;2017;5;3;10;23;36;43;52;0;
1928;09;05;2017;3;10;26;28;51;53;59;0;
1927;06;05;2017;7;5;11;13;19;30;31;1;3343108.90;
1926;03;05;2017;4;2;3;14;20;30;46;1;41318205.91;
1925;29;04;2017;7;1;17;38;43;45;47;0;
1924;26;04;2017;4;12;16;30;52;53;58;1;101484527.44;
1923;22;04;2017;7;9;34;42;45;46;59;0;
1922;19;04;2017;4;20;22;36;38;41;43;0;
1921;15;04;2017;7;10;15;16;19;28;35;0;
1920;12;04;2017;4;25;31;33;39;43;45;0;
1919;08;04;2017;7;11;28;37;45;54;60;0;
1918;05;04;2017;4;16;17;20;22;38;50;0;
1917;01;04;2017;7;4;21;25;33;36;46;0;
1916;29;03;2017;4;3;9;18;23;50;52;0;
