2110;31;12;2018;2;5;10;12;18;25;33;52;5818007.36;1;
2000;31;12;2017;1;3;6;10;17;34;37;17;18042279.04;1;
1890;31;12;2016;7;5;11;22;24;51;53;6;36824758.22;1;
1775;31;12;2015;5;2;18;31;42;51;56;6;41088919.05;1;
1665;31;12;2014;4;1;5;11;16;20;56;4;65823888.16;1;
1560;31;12;2013;3;20;30;36;38;47;53;4;56169465.02;1;
1455;31;12;2012;2;14;32;33;36;41;52;3;81594699.72;1;
1350;31;12;2011;7;3;4;29;36;45;55;5;35523497.52;1;
1245;31;12;2010;6;2;10;34;37;43;50;4;48598800.01;1;
1140;31;12;2009;5;10;27;40;46;49;58;2;72450747.46;1;
